,city,venue,dow,time,urls
100,(Corpus Christi),Cassidy's Irish Pub,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/26836429/trivia-at-Cassidy-s-Irish-Pub
101,(Dallas),Community Beer Company Tap Room,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/310622198/trivia-at-Community-Beer-Company-Tap-Room
102,(Houston),Craft Republic (Houston),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/323329770/trivia-at-Craft-Republic-Houston-
103,(Dallas),Dodie's Reef (Wednesday),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/522309092/trivia-at-Dodie-s-Reef-Wednesday-
104,(Dallas),Fox & Hound Bar and Grill (Midway),Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/703109163/trivia-at-Fox-amp-Hound-Bar-and-Grill-Midway-
105,(Richardson),Glass Half Full (Richardson) (Wednesday),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/77981365/trivia-at-Glass-Half-Full-Richardson-Wednesday-
106,(Austin),Gourmands,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/27695210/trivia-at-Gourmands
107,(Grapevine),Grapevine Craft Brewery (Wednesday),Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/461180962/trivia-at-Grapevine-Craft-Brewery-Wednesday-
108,(The Colony),Grrrowler's Tap Room,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/883660115/trivia-at-Grrrowler-s-Tap-Room
109,(Houston),Little Woodrow's (Midtown),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/37234128/trivia-at-Little-Woodrow-s-Midtown-
110,(Houston),Little Woodrow's (The Heights),Wednesday,7:30 PM,https://www.geekswhodrink.com/venue/21557428/trivia-at-Little-Woodrow-s-The-Heights-
111,(San Antonio),Mad Pecker Brewing Co.,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/466392117/trivia-at-Mad-Pecker-Brewing-Co-
112,(Austin),Mister Tramps,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/18191681/trivia-at-Mister-Tramps
113,(Frisco),Nerdvana Food + Spirits,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/664337067/trivia-at-Nerdvana-Food-Spirits
114,(Houston),NettBar,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/625411177/trivia-at-NettBar
115,(Del Valle),Nland Brewing Company,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/780546286/trivia-at-Nland-Brewing-Company
116,(Katy),No Label Brewing Co.,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/707806187/trivia-at-No-Label-Brewing-Co-
